fips,hpi2015,hpi2016,hpi2017,hpi2018,hpi2019,hpi2020,hpi2021,pop_2020,state,county,deaths,mortality_rate
48113,156.4780000000002,171.50425,187.211,198.8363333333335,206.5089999999996,211.376666666667,237.2863333333335,2609966,Texas,Dallas,222358,85.195747
48115,184.9825,190.5525,195.98,206.99,218.615,226.1575,241.1775,12473,Texas,Dawson,3138,251.58342
48123,169.6527272727273,175.2372727272727,180.6981818181819,188.9018181818182,197.4890909090909,205.0190909090909,226.6527272727272,19835,Texas,DeWitt,5887,296.79858
48117,160.03,162.76,166.72,172.87,176.03,181.85,197.7,18526,Texas,Deaf Smith,5574,300.87445
48119,140.78,152.56,165.65,180.28,188.94,197,222.51,5222,Texas,Delta,94,18.000767
48121,147.631489361702,161.6970212765959,177.583829787234,190.0365957446809,198.0265957446808,203.7348936170212,230.95,914324,Texas,Denton,30817,33.704681
48125,163.96,172.03,175.52,182.78,189.83,198.26,215.75,1758,Texas,Dickens,409,232.65074
48127,159.78,166.47,169.83,173.04,177.07,187.74,200.86,8577,Texas,Dimmit,1085,126.50111
48129,160.03,162.76,166.72,172.87,176.03,181.85,197.7,3279,Texas,Donley,244,74.412933
48131,171.83,179.38,183.93,192.54,202.93,209.5,229.45,9807,Texas,Duval,2681,273.37616
48133,159.74,166.28,175.42,188.46,198.09,205.49,230.8600000000001,17775,Texas,Eastland,930,52.320675
48135,248.05,246.1199999999999,257.3600000000001,279.6199999999999,304.9700000000001,309.85,317.46,165485,Texas,Ector,18551,112.10079
48137,159.78,166.47,169.83,173.04,177.07,187.74,200.86,1424,Texas,Edwards,221,155.19662
48141,151.3901694915254,153.7398305084747,158.0964406779662,162.7103389830511,169.0837288135594,176.104745762712,194.8376271186439,866547,Texas,El Paso,122336,141.17642
48139,139.9463636363637,151.9145454545454,166.3786363636364,179.5568181818181,189.2745454545454,196.2972727272728,223.9681818181818,194295,Texas,Ellis,14658,75.441986
48143,158.9705882352941,165.8776470588236,175.184705882353,188.0811764705883,197.75,205.4794117647058,231.0976470588236,42716,Texas,Erath,2428,56.840527
48145,149.3335294117647,158.6382352941177,168.5776470588236,180.0211764705882,190.1235294117647,199.7147058823529,227.2664705882354,16954,Texas,Falls,1183,69.777046
48147,140.78,152.56,165.65,180.2800000000001,188.94,197,222.5100000000001,35798,Texas,Fannin,3765,105.17348
48149,161.2585,172.9184999999999,186.0160000000001,198.346,206.5619999999999,214.1969999999999,241.1375000000001,24471,Texas,Fayette,3597,146.99031
48151,178.28,181.69,187.2,192.16,204.8800000000001,212.72,234.98,3676,Texas,Fisher,561,152.61154
48153,,,,,,,,5368,Texas,Floyd,1737,323.5842
48155,136.07,139.21,143.85,150.78,159.03,166.57,189.99,1085,Texas,Foard,169,155.76038
48157,167.1386842105264,175.7944736842106,182.1531578947367,189.4539473684212,196.4786842105265,201.5510526315789,217.8126315789474,829036,Texas,Fort Bend,49458,59.657242
48159,140.78,152.56,165.65,180.28,188.94,197,222.51,10371,Texas,Franklin,1103,106.35426
48161,151.52,157.5244444444445,167.9677777777778,176.0311111111111,186.4577777777778,194.7833333333334,218.6466666666666,19445,Texas,Freestone,981,50.449986
48163,154.16,159.66,170.67,179.61,187.99,194.25,214.69,18409,Texas,Frio,1337,72.627518
48165,163.96,172.03,175.52,182.78,189.83,198.26,215.75,21699,Texas,Gaines,1782,82.123604
48167,155.71125,166.3374999999999,176.5975000000001,188.8875,197.6375,205.01375,226.64625,351559,Texas,Galveston,29216,83.104118
48169,163.96,172.03,175.52,182.78,189.83,198.26,215.75,5817,Texas,Garza,1209,207.8391
48171,156.155,167.88,180.63,191.04,202.9075,212.04,251.065,26742,Texas,Gillespie,1523,56.951611
48173,248.05,246.12,257.36,279.62,304.97,309.85,317.46,1117,Texas,Glasscock,29,25.962399
48175,170.3085714285714,175.78,181.2357142857143,189.6557142857143,198.4171428571429,205.7142857142857,226.2685714285714,7021,Texas,Goliad,935,133.17191
48177,163.3573333333334,173.3446666666667,183.4053333333333,193.612,204.3293333333334,212.8186666666666,244.814,19679,Texas,Gonzales,3095,157.27425
48179,160.03,162.76,166.72,172.87,176.03,181.85,197.7,21198,Texas,Gray,2044,96.424194
48181,145.0677272727273,158.3277272727272,173.254090909091,186.4231818181818,194.6504545454546,201.1513636363637,227.7336363636364,136100,Texas,Grayson,10735,78.875824
48183,158.94,160.58,160.65,168.1100000000001,174.51,181,200.1300000000001,124241,Texas,Gregg,13347,107.42831
48185,163.0166666666667,173.86,182.1083333333333,191.0625,198.4491666666667,203.9616666666667,223.2408333333334,29430,Texas,Grimes,5435,184.67551
48187,164.3729411764706,174.5164705882352,184.7405882352941,195.414705882353,207.3717647058823,215.5629411764705,247.3852941176471,173686,Texas,Guadalupe,12262,70.598663
48189,160.52125,163.91875,167.82,174.10875,177.755,183.90125,199.95625,32465,Texas,Hale,11161,343.78561
48191,,,,,,,,2797,Texas,Hall,334,119.41366
48193,150.181,157.568,166.186,176.766,186.905,194.802,221.364,8247,Texas,Hamilton,988,119.80114
48195,160.03,162.76,166.72,172.87,176.03,181.85,197.7,5260,Texas,Hansford,1129,214.63878
48197,,,,,,,,3559,Texas,Hardeman,331,93.003654
48199,153.4254545454545,161.4818181818182,168.6954545454546,179.1172727272727,187.0318181818182,194.2072727272727,212.9272727272727,56344,Texas,Hardin,5416,96.12381
48201,181.7777987421382,187.7249685534591,193.6313836477987,202.2562893081766,209.0044654088048,214.7118238993714,229.886352201258,4734505,Texas,Harris,434247,91.71962
48203,158.94,160.58,160.65,168.1100000000001,174.5100000000001,181,200.1300000000001,68798,Texas,Harrison,8571,124.58211
48205,160.03,162.76,166.72,172.87,176.03,181.85,197.7,5349,Texas,Hartley,481,89.923347
48207,173.59,176.97,182.3833333333333,187.5622222222222,199.7855555555556,207.5922222222222,229.9811111111111,5432,Texas,Haskell,483,88.917526
48209,166.1,179.9294736842105,193.0952631578947,204.6457894736842,218.2063157894737,228.7415789473684,273.0226315789473,243967,Texas,Hays,12584,51.580746
48211,160.03,162.76,166.72,172.87,176.03,181.85,197.7,3363,Texas,Hemphill,62,18.435921
48213,141.2625,149.64125,160.235,170.9737500000001,179.81875,187.1675,211.78875,82394,Texas,Henderson,5635,68.3909
48215,134.7600000000001,137.82,142.89,147.42,153.67,160.33,176.8000000000001,872806,Texas,Hidalgo,266295,305.10217
48217,151.6621052631579,161.802105263158,173.131052631579,185.1784210526315,195.0452631578947,204.5978947368422,232.2042105263158,35962,Texas,Hill,2473,68.767029
48219,162.6254545454545,170.4345454545455,174.0627272727273,181.1863636363636,188.1590909090909,196.2490909090909,213.8054545454546,21503,Texas,Hockley,4044,188.06679
48221,149.972,160.208,173.122,186.294,195.768,202.388,229.504,62054,Texas,Hood,5846,94.208267
48223,140.78,152.56,165.65,180.2800000000001,188.94,197,222.51,36824,Texas,Hopkins,4390,119.21573
48225,151.04,156,166.41,173.4,183.96,191.75,214.58,22055,Texas,Houston,1942,88.052597
48227,230.6075,230.0125,239.82,257.755,279.9475,285.5675,296.84,34812,Texas,Howard,3657,105.04998
48229,158.464,163.558,168.99,176.034,185.04,193.304,208.692,3203,Texas,Hudspeth,520,162.34779
48231,138.8904761904762,150.8285714285714,164.4233333333334,178.8952380952382,187.78,195.4628571428571,221.3214285714287,100257,Texas,Hunt,7383,73.640747
48233,160.03,162.76,166.72,172.87,176.03,181.85,197.7,20568,Texas,Hutchinson,1953,94.953323
48235,186.73,191,196.88,204.28,216.07,226.72,252.34,1511,Texas,Irion,0,0
48237,154.6208333333333,161.09,169.95,182.0041666666667,191.3875,198.7375,223.8525,8486,Texas,Jack,452,53.264198
48239,170.374,174.734,178.278,185.04,191.7920000000001,198.528,214.872,14992,Texas,Jackson,2375,158.41782
48241,146.558,151.34,155.044,162.238,169.328,175.562,191.878,32921,Texas,Jasper,4549,138.17928
48243,204.27,206.245,214.735,229.735,247.29,254.04,265.06,1986,Texas,Jeff Davis,27,13.595166
48245,146.2621739130435,152.8426086956521,157.7943478260869,166.5752173913043,173.8647826086956,180.3421739130435,193.8204347826087,256118,Texas,Jefferson,25532,99.688423
48247,159.4733333333334,165.5266666666667,170.25,177.5,186.51,193.11,211.9,4846,Texas,Jim Hogg,751,154.97318
48249,171.83,179.38,183.93,192.54,202.93,209.5,229.45,38877,Texas,Jim Wells,6384,164.21021
48251,143.46,156.16,171.59,184.8499999999999,194.2199999999999,200.32,228.5999999999999,180945,Texas,Johnson,11396,62.980465
48253,176.4872727272727,180.2390909090909,185.9436363636364,191.1681818181819,203.3218181818182,210.9490909090909,232.8945454545455,19678,Texas,Jones,811,41.213539
48255,166.184,174.492,183.6299999999999,194.046,205.243,212.529,238.189,14763,Texas,Karnes,2401,162.63632
48257,132.594375,145.340625,160.989375,174.691875,184.244375,190.375625,217.6475,147126,Texas,Kaufman,9438,64.149094
48259,154.7511111111111,162.0955555555556,173.6211111111111,182.9966666666667,192.41,199.5211111111111,225.4677777777778,44547,Texas,Kendall,1728,38.790489
48261,171.83,179.38,183.93,192.54,202.93,209.5,229.45,351,Texas,Kenedy,257,732.19373
48263,178.28,181.69,187.2,192.16,204.88,212.72,234.98,761,Texas,Kent,46,60.446781
48265,155.6576923076923,162.3415384615385,173.4430769230769,182.4461538461539,191.6738461538461,198.5223076923077,223.0169230769231,52691,Texas,Kerr,2409,45.719383
48267,166.6685714285714,172.3171428571428,180.7014285714286,187.2642857142857,197.7828571428571,204.5814285714285,231.2614285714286,4291,Texas,Kimble,315,73.409462
48269,,,,,,,,266,Texas,King,0,0
48271,159.78,166.47,169.83,173.04,177.07,187.74,200.86,3124,Texas,Kinney,206,65.941101
48273,171.83,179.38,183.93,192.54,202.93,209.5,229.45,30977,Texas,Kleberg,6593,212.83533
48275,152.954,156.202,161.19,167.332,177.37,185.03,207.986,3346,Texas,Knox,1228,367.00537
48283,154.16,159.66,170.67,179.61,187.99,194.25,214.69,6664,Texas,La Salle,1588,238.29532
48277,140.78,152.56,165.65,180.2800000000001,188.94,197,222.51,50126,Texas,Lamar,8109,161.77234
48279,162.3225,168.1675,171.8533333333334,178.6508333333333,184.08,191.4225,208.2291666666667,13005,Texas,Lamb,4671,359.16956
48281,145.9242857142857,152.6214285714286,160.1528571428571,168.4642857142858,178.9357142857143,186.1,212.6542857142857,21707,Texas,Lampasas,1304,60.072788
48285,169.57,174.8025,180.2725,188.495,195.575,202.9325,221.9975,20348,Texas,Lavaca,5671,278.70062
48287,155.8590909090909,167.4518181818182,179.3027272727273,190.4881818181818,200.4490909090909,208.5627272727272,240.0618181818182,17502,Texas,Lee,2542,145.24054
48289,157.2263636363636,165.75,175.3736363636364,183.409090909091,192.8690909090909,199.4227272727273,220.2390909090909,15731,Texas,Leon,1556,98.912971
48291,157.6353333333333,166.422,175.8953333333334,186.762,194.042,201.228,223.742,92465,Texas,Liberty,8889,96.133675
48293,152.912,161.9453333333334,172.4853333333334,183.6613333333333,193.7013333333333,203.58,230.4400000000001,22139,Texas,Limestone,2185,98.694611
48295,160.03,162.76,166.72,172.87,176.03,181.85,197.7,3036,Texas,Lipscomb,218,71.805008
48297,163.7491666666667,170.6233333333333,178.595,187.6708333333333,197.41,203.9891666666666,225.1916666666666,11349,Texas,Live Oak,1285,113.22584
48299,159.9536363636363,171.16,182.9163636363637,192.4363636363636,204.6672727272727,213.71,253.0309090909091,21285,Texas,Llano,451,21.188631
48301,248.05,246.12,257.36,279.62,304.97,309.85,317.46,65,Texas,Loving,0,0
48303,153.7655555555556,159.8424999999999,164.3880555555555,170.6063888888889,177.066111111111,182.898888888889,200.8958333333333,311564,Texas,Lubbock,39788,127.7041
48305,162.3288888888889,170.08,173.7388888888889,180.8322222222222,187.7877777777778,195.8022222222222,213.3733333333333,5610,Texas,Lynn,1146,204.27808
48313,162.3816666666667,173.875,182.8433333333333,191.75,200.2933333333333,205.8166666666667,224.955,13464,Texas,Madison,1213,90.092094
48315,154.7775,157.1525,157.795,164.6375,170.87,177.57,196.2125,9751,Texas,Marion,2197,225.31023
48317,231.232,231.302,240.992,260.252,281.942,287.532,297.118,5252,Texas,Martin,1166,222.01067
48319,166.6685714285714,172.3171428571429,180.7014285714286,187.2642857142857,197.7828571428572,204.5814285714285,231.2614285714286,3968,Texas,Mason,237,59.727821
48321,162.27,171.6300000000001,177.95,184.56,191.52,196.32,212.8800000000001,36280,Texas,Matagorda,8120,223.81477
48323,159.78,166.47,169.83,173.04,177.07,187.74,200.86,57873,Texas,Maverick,20231,349.57581
48307,168.31,172.6,180.16,186,196.1,202.35,225.94,7591,Texas,McCulloch,681,89.711502
48309,151.4875,161.8519444444445,172.8741666666667,186.1197222222222,196.0369444444444,206.161111111111,233.7427777777777,261177,Texas,McLennan,22927,87.783379
48311,154.16,159.66,170.67,179.61,187.99,194.25,214.69,598,Texas,McMullen,97,162.20735
48325,157.1047058823529,163.6823529411765,173.0476470588235,180.8900000000001,188.5782352941176,196.0935294117647,215.4923529411765,50939,Texas,Medina,7100,139.3824
48327,168.31,172.6,180.16,186,196.1,202.35,225.94,1961,Texas,Menard,155,79.041306
48329,248.0500000000001,246.1199999999999,257.3600000000001,279.6199999999999,304.9700000000001,309.85,317.46,170348,Texas,Midland,16834,98.821236
48331,141.936875,150.4856250000001,158.51375,168.011875,178.171875,185.409375,211.96,24775,Texas,Milam,1179,47.588295
48333,163.32125,168.31375,176.06625,183.23875,193.345,199.89875,224.23,4447,Texas,Mills,375,84.326515
