zip,year,hpi
027,2008,163.93
027,2009,151.05
027,2010,145.85
027,2011,141.01
027,2012,138.2
027,2013,139.34
027,2014,144.79
027,2015,149.45
027,2016,156.47
027,2017,165.01
027,2018,173.65
027,2019,181.18
027,2020,188.47
027,2021,212.06
027,2022,240.04
028,1975,23.7
028,1976,24.73
028,1977,26.5
028,1978,30.37
028,1979,33.17
028,1980,35.83
028,1981,38.09
028,1982,39.28
028,1983,42.3
028,1984,45.66
028,1985,50.81
028,1986,59.94
028,1987,75.53
028,1988,86.84
028,1989,90.17
028,1990,88.8
028,1991,85.64
028,1992,83.61
028,1993,82.97
028,1994,81.73
028,1995,81.73
028,1996,82.34999999999999
028,1997,83.17
028,1998,85.56999999999999
028,1999,89.20999999999999
028,2000,100
028,2001,111
028,2002,126.67
028,2003,140.53
028,2004,165.63
028,2005,188.98
028,2006,196.6
028,2007,191.89
028,2008,179.63
028,2009,163
028,2010,155.44
028,2011,148.77
028,2012,143.82
028,2013,144.09
028,2014,148.04
028,2015,154.36
028,2016,161.47
028,2017,170.42
028,2018,180.65
028,2019,188.66
028,2020,196.45
028,2021,222.21
028,2022,257.16
029,1975,24.04
029,1976,24.62
029,1977,26.9
029,1978,29.6
029,1979,34
029,1980,38.08
029,1981,40.9
029,1982,39.47
029,1983,42.45
029,1984,45.71
029,1985,50.48
029,1986,60.96
029,1987,76.65000000000001
029,1988,89.95
029,1989,94.34
029,1990,93.15000000000001
029,1991,88.98
029,1992,87.59
029,1993,86.39
029,1994,84.7
029,1995,83.45999999999999
029,1996,84.45999999999999
029,1997,84.34
029,1998,87.51000000000001
029,1999,89.93000000000001
029,2000,100
029,2001,110.88
029,2002,126.88
029,2003,140.77
029,2004,167.63
029,2005,192.06
029,2006,199.28
029,2007,194.61
029,2008,176.09
029,2009,157.56
029,2010,152.05
029,2011,143.38
029,2012,135.96
029,2013,134.58
029,2014,140.49
029,2015,147.65
029,2016,155.52
029,2017,166.49
029,2018,178.54
029,2019,186.38
029,2020,196.94
029,2021,224.26
029,2022,258.91
030,1975,24.64
030,1976,24.85
030,1977,27.07
030,1978,29.46
030,1979,36.32
030,1980,38.04
030,1981,40.84
030,1982,43.46
030,1983,45.17
030,1984,53.48
030,1985,63.2
030,1986,74.73
030,1987,83.48999999999999
030,1988,86.59999999999999
030,1989,86.33
030,1990,80.31999999999999
030,1991,72.79000000000001
030,1992,70.18000000000001
030,1993,69.43000000000001
030,1994,68.89
030,1995,69.92
030,1996,71.86
030,1997,74.81
030,1998,79.56999999999999
030,1999,85.97
030,2000,100
030,2001,112.22
030,2002,125.26
030,2003,133.55
030,2004,147.69
030,2005,162.57
030,2006,166.45
030,2007,161.59
030,2008,154.47
030,2009,142.11
030,2010,136.27
030,2011,131.87
030,2012,128.67
030,2013,130.36
030,2014,136.52
030,2015,141.9
030,2016,148.35
030,2017,157.07
030,2018,167.07
030,2019,175.22
030,2020,183.94
030,2021,209.85
030,2022,242.24
